No.,LOCALIDAD,TIPO DE PARQUE,NOMBRE DEL PARQUE O ESCENARIO,DIRECCIÓN,LATITUD,LONGITUD
137,SUBA,VECINAL,URBANIZACIÓN VICTORIA NORTE,Calle 152 #50-10,4.7357586,-74.0529167
138,SUBA,VECINAL,URBANIZACIÓN VILANOVA,Carrera 54D #183-71,4.763675999999999,-74.0490949
139,BARRIOS UNIDOS,ZONAL,ALCAZARES,Calle 71 #24-10,40.7475461,14.4952251
140,BARRIOS UNIDOS,ZONAL,CANAL RIO NEGRO,Calle 94 #65A-29,4.6848716,-74.0721885
141,BARRIOS UNIDOS,ESCENARIO DEPORTIVO,COMPLEJO ACUATICO,Avenida Calle 63 #50-72,4.6537669,-74.0832822
142,BARRIOS UNIDOS,ZONAL,GIMNASIO DEL NORTE,Calle 63C #27A-51,4.6542822,-74.07503489999999
143,BARRIOS UNIDOS,ZONAL,LA ESTACIÓN,Avenida Calle 72 No 23-40,4.6628485,-74.0666691
144,BARRIOS UNIDOS,ESCENARIO DEPORTIVO,PALACIO DE LOS DEPORTES,Avenida Calle 63 #54A-06,4.6550378,-74.0837927
145,BARRIOS UNIDOS,METROPOLITANO,PARQUE DE LOS NIÑOS,Avenida Calle 63 #60-40,4.662006799999999,-74.0901102
146,BARRIOS UNIDOS,METROPOLITANO,PARQUE DE LOS NOVIOS,Avenida Calle 63 #45-10,4.6552739,-74.0815416
147,BARRIOS UNIDOS,METROPOLITANO,PISTA DE BMX PRD,Carrera 60 #63-63,4.6209327,-74.1215529
148,BARRIOS UNIDOS,METROPOLITANO,PRD EL SALITRE - UCAD,Carrera 60 #63-63,4.6209327,-74.1215529
149,BARRIOS UNIDOS,METROPOLITANO,SIMÓN BOLÍVAR (SECTOR PLAZA DE ARTESANOS),Cra. 60 #63A-52,6.3458369,-75.56422169999999
150,BARRIOS UNIDOS,VECINAL,URBANIZACIÓN METROPOLIS,Calle 74A #66-1,4.678131,-74.0836453
151,TEUSAQUILLO,VECINAL,ARENA MOVISTAR,Avenida Carrera 30 #57A-96,4.6503535,-74.07818999999999
152,TEUSAQUILLO,ESCENARIO DEPORTIVO,EL CAMPINCITO - CEAD,Avenida Carrera 30 #53B-50,4.6461459,-74.0780345
153,TEUSAQUILLO,ESCENARIO DEPORTIVO,ESTADIO NEMECIO CAMACHO EL CAMPIN,Avenida Carrera 30 #53B-50,4.6461459,-74.0780345
154,TEUSAQUILLO,ZONAL,NICOLAS DE FEDERMAN 3,Carrera 45 #58A-10,4.649407399999999,-74.0831104
155,TEUSAQUILLO,METROPOLITANO,PARQUE CENTRAL SIMÓN BOLÍVAR,Carrera 60 #57-85,4.6343172,-74.1104363
156,TEUSAQUILLO,VECINAL,SANTA CLARA,Carrera 45 #22-63,4.6335415,-74.0975259
157,TEUSAQUILLO,VECINAL,URBANIZACIÓN SALITRE (GRECO),Carrera 66B #42-51,4.6525492,-74.1001476
158,TEUSAQUILLO,METROPOLITANO,VIRGILIO BARCO,Carrera 60 #57-60,4.656388,-74.0880234
159,LOS MARTIRES,ZONAL,EDUARDO SANTOS,Calle 4A Bis #18B-30,4.5979371,-74.09037
160,LOS MARTIRES,METROPOLITANO,EL RENACIMIENTO - PARQUE CEMENTERIO CENTRAL,Avenida Calle 26 #19B-55,4.6202519,-74.0760088
161,LOS MARTIRES,VECINAL,PEPITA,Calle 10 #25A-46,6.2087433,-75.5559916
162,LOS MARTIRES,METROPOLITANO,RECONCILIACIÓN,Carrera 19b #24-20,4.672482,-74.0589538
163,LOS MARTIRES,ZONAL,SANTA ISABEL,Calle 1G #28-40,4.5997164,-74.1013629
164,ANTONIO NARINO,ZONAL,CIUDAD JARDIN,Calle 11 Sur #10-61,4.5825479,-74.0910126
165,ANTONIO NARINO,ZONAL,LA FRAGUA,Calle 15 Sur #29-52,4.5945127,-74.1065989
