X,Y,objectid,cenefa,zona_sitp,nombre,via,direccion_bandera,localidad,longitud,latitud,consecutivo_zona,tipo_m_s,consola,panel,audio,zonas_nuevas,globalid
-74.0529599999454,4.74601199978384,3846,259A02,02,C.R. La Estancia,Cl 163B,CL 163B - KR 52,Suba,-74.05296,4.746012,259,S,CL 163B - KR 52 (259A02),CL 163B - KR 52,Calle 163 Be 50,B,{DC5E338E-DEDB-4292-A3AD-E4103D1C2348}
-74.1173988709003,4.74307380918775,3847,259A03,03,IED La Toscana - Lisboa,CL 132,CL 132 - KR 145A,Suba,-74.11739887,4.74307381,259,S,CL 132 - KR 145A (259A03),CL 132 - KR 145A,Calle 132 Carrera 145 A,C,{6AA00EE3-E441-48C3-B275-53DD7CCEDC18}
-74.0990706622847,4.69531139396279,3848,259A04,04,Br. Tabora,Cl 75,CL 75 - KR 78-93 (ANTIGUA),Engativá,-74.09907066,4.69531139,259,S,CL 75 - KR 78-93 (ANTIGUA) (259A04),CL 75 - KR 78-93 (ANTIGUA),Calle 75 Carrera 78,D,{A2B9A56F-37FF-4AFC-8A55-D349142CF0D8}
-74.1237361007964,4.69889130522327,3849,259A05,05,Br. El Muelle II,KR 105,KR 105 - CL 67,Engativá,-74.1237361,4.69889131,259,S,KR 105 - CL 67 (259A05),KR 105 - CL 67,Carrera 105 Calle 67,D,{9C6B141B-7CEC-4811-8B49-4663A14E4626}
-74.1496610000546,4.68745499962634,3850,259A06,06,Br. Versalles,KR 107,KR 107 - CL 23,Fontibón,-74.149661,4.687455,259,S,KR 107 - CL 23 (259A06),KR 107 - CL 23,Carrera 107 Calle 23,K,{AD991771-F5C5-4FD9-9610-5DFC9B546D28}
-74.1155504693191,4.62446177970474,3851,259A07,07,Br. San Gabriel,KR  56,KR 56 - CL 5A-29,Puente Aranda,-74.11555047,4.62446178,259,S,KR 56 - CL 5A-29 (259A07),KR 56 - CL 5A-29,Carrera 56 Calle Quinta A,F,{A4D22EFF-C57D-4B0B-A1D4-32966F5714ED}
-74.1861070001974,4.62144500038649,3852,259A08,08,Br. Escocia,CL 58 C S,CL 58C Sur - KR 86B,Bosa,-74.186107,4.621445,259,S,CL 58C Sur - KR 86B (259A08),CL 58C Sur - KR 86B,Calle 58 C Sur Carrera 86 Be,G,{CED7CFD5-2853-44D2-BDBA-DDAD3FB9BAB7}
-74.1987240000214,4.62382299961767,3853,259A09,09,Desarrollo San Joaquín,Cl 71 S,CL 71 Sur - KR 88F,Bosa,-74.198724,4.623823,259,S,CL 71 Sur - KR 88F (259A09),CL 71 Sur - KR 88F,Calle 71 Sur Carrera 88 F,G,{C74E3C06-25CC-482C-B972-3B7DEE8ED096}
-74.14014617511,4.59186750455501,3854,259A10,10,Sede Comunal Barrio Venecia,Dg  49 Sur,DG 49 Sur - KR 52,Tunjuelito,-74.14014618,4.59186751,259,S,DG 49 Sur - KR 52 (259A10),DG 49 Sur - KR 52,Diagonal 49 Sur Carrera 52,H,{A63C941B-64C5-4412-B089-376BFC3DE8ED}
-74.1433476451952,4.54215970237427,3855,259A11,11,Br. Quiba,KR  18B BIS A,KR 18A BIS  - 74B Sur,Ciudad Bolívar,-74.14334764,4.5421597,259,S,KR 18A BIS  - 74B Sur (259A11),KR 18A BIS  - 74B Sur,Carrera 18 A Bis 74 Be Sur,H,{525D7C52-7629-4212-9555-F42E900B9FF6}
-74.0830332313114,4.57582764245042,3856,259A13,13,Br. La María,AC 11 Sur,AC 11 Sur - KR 2,San Cristóbal,-74.08303323,4.57582764,259,S,AC 11 Sur - KR 2 (259A13),AC 11 Sur - KR 2,Avenida Calle 11 Sur Carrera Segunda,L,{8AE73E1E-BA67-4E74-87AE-07BC1A27B4FA}
