precio,area_m2,habitaciones,baños,estrato,barrio,antiguead,administracion,parqueadero,codigo,equipado,sauna,jacuzzi,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,localidad
499800000,95.0,3,3,4,LOS CEDROS USAQUEN,Entre 10 y 20 años,393300.0,1,2974-M3792400,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
2700000000,301.0,3,4,6,CERROS DE LOS ALPES USAQUEN,Entre 10 y 20 años,1800000.0,3,3553-M3511779,0,1,0,0,0,1,0,1,1,0,12.0,USAQUEN
280000000,65.0,3,2,3,VERBENAL,Entre 10 y 20 años,140000.0,1,3496-M4095025,0,0,0,0,0,0,1,0,0,1,2.0,USAQUEN
750000000,100.0,3,3,5,BELLA SUIZA ALTA USAQUEN,Entre 5 y 10 años,700000.0,2,512-M4155642,0,1,1,0,0,1,0,1,0,1,4.0,USAQUEN
380000000,60.0,3,2,3,GINEBRA USAQUEN,Más de 20 años,271000.0,1,512-M4027766,0,0,1,0,0,1,0,0,0,0,0.0,USAQUEN
3600000000,320.0,3,5,6,USAQUEN,Entre 5 y 10 años,1500000.0,3,523-M2869403,0,0,0,0,0,1,0,0,0,0,0.0,USAQUEN
3600000000,320.0,3,5,6,USAQUEN,Entre 5 y 10 años,1500000.0,3,523-M2869397,0,0,0,0,0,1,0,1,0,0,0.0,USAQUEN
1950000000,323.0,4,5,6,BOSQUE MEDINA USAQUEN,Remodelado,1400000.0,3,2162-M3360551,0,0,1,0,0,1,0,0,1,0,23.0,USAQUEN
1150000000,205.0,3,3,6,BOSQUE DE PINOS USAQUEN,Entre 10 y 20 años,985000.0,4,2259-M4027633,0,0,0,0,0,0,0,0,1,0,14.0,USAQUEN
420000000,83.6,3,2,4,CEDRITOS,Más de 20 años,357000.0,1,14997-M4098084,0,0,0,0,0,1,0,0,0,0,0.0,USAQUEN
1600000000,260.0,3,5,6,LA CAROLINA USAQUEN,Más de 20 años,1300000.0,3,94-M4041727,0,0,0,0,0,0,0,0,0,1,6.0,USAQUEN
3200000000,297.0,3,4,6,USAQUEN,Entre 5 y 10 años,2000000.0,4,3390-M3734734,0,1,0,0,0,1,1,1,1,0,25.0,USAQUEN
465000000,78.01,2,2,6,USAQUEN,Más de 20 años,488000.0,0,12947-M3705693,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
460000000,70.0,3,2,4,ESTRELLA DEL NORTE USAQUEN,Entre 10 y 20 años,320000.0,2,12947-M3887572,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
730000000,118.75,4,4,6,SAN PATRICIO USAQUEN,Más de 20 años,881000.0,2,12947-M3918266,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
190000000,40.0,2,2,2,REDIL USAQUEN BOGOTA,Entre 0 y 5 años,96800.0,0,12947-M3741670,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
1250000000,219.86,2,3,6,USAQUEN,Más de 20 años,991500.0,2,12947-M3703683,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
1295000000,142.67,3,4,6,SANTA BARBARA OCCIDENTAL USAQUEN,Entre 0 y 5 años,933855.0,3,384-4012,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
850000000,125.0,3,3,6,SAN PATRICIO USAQUEN,Más de 20 años,760000.0,0,12947-M3721793,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
550000000,109.0,3,2,4,BELMIRA USAQUEN,Entre 10 y 20 años,811893.0,2,384-M3905983,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
491000000,92.0,4,2,5,SANTA BARBARA OCCIDENTAL USAQUEN,Más de 20 años,523000.0,1,384-M3981480,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
354000000,79.0,2,2,4,BELMIRA USAQUEN,Más de 20 años,,1,384-M3917718,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
885000000,152.74,4,4,6,SAN PATRICIO USAQUEN,Más de 20 años,1094000.0,3,12947-M3720959,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
610000000,127.0,2,3,4,CEDRITOS,Más de 20 años,512000.0,2,10300-M3836205,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
420700000,66.9,2,2,4,BARRANCAS USAQUEN,Entre 0 y 5 años,301050.0,1,384-3239,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
455000000,74.2,2,2,6,SANTA BARBARA OCCIDENTAL USAQUEN,Entre 5 y 10 años,621000.0,2,384-3575,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
466700000,75.8,3,2,4,BARRANCAS USAQUEN,Entre 0 y 5 años,341100.0,1,384-3236,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
2700000000,380.0,4,5,6,BOSQUE MEDINA USAQUEN,Entre 10 y 20 años,1900000.0,4,815-M3427010,0,1,1,0,0,1,0,1,1,0,1.0,USAQUEN
700000000,155.0,3,3,5,SANTA BARBARA OCCIDENTAL USAQUEN,Entre 10 y 20 años,693400.0,2,646-3535,0,0,0,0,0,0,0,0,1,0,,USAQUEN
4800000000,390.0,4,4,6,USAQUEN,Entre 5 y 10 años,2000000.0,4,17-1478,0,0,0,0,0,0,1,1,0,1,,USAQUEN
4300000000,336.0,3,5,6,SANTA BARBARA ALTA USAQUEN,Entre 5 y 10 años,2200000.0,4,815-1073,1,1,0,0,0,1,0,1,1,0,1.0,USAQUEN
800000000,156.0,3,4,5,LA CAROLINA USAQUEN,Entre 10 y 20 años,750000.0,2,247-409,0,0,0,0,0,0,1,0,0,0,0.0,USAQUEN
2950000000,357.0,4,5,6,NAVARRA USAQUEN,Entre 5 y 10 años,3700000.0,4,815-M3393831,1,0,0,0,0,1,0,0,1,0,1.0,USAQUEN
455000000,98.0,3,2,6,SANTA BARBARA USAQUEN,Entre 10 y 20 años,450000.0,1,2361-93579,0,0,0,0,0,0,1,0,0,0,0.0,USAQUEN
6000000000,498.0,3,4,6,SANTA BARBARA ALTA USAQUEN,Entre 10 y 20 años,,4,17-1541,0,0,0,0,0,0,1,0,0,1,,USAQUEN
3500000000,330.0,4,5,6,SANTA BARBARA ALTA USAQUEN,Entre 10 y 20 años,2630000.0,4,464-1697,0,0,0,0,0,0,1,1,0,1,,USAQUEN
1499900000,181.0,3,5,5,BELLA SUIZA USAQUEN,Entre 0 y 5 años,859000.0,2,771-M4150921,0,0,0,1,0,1,0,0,1,0,1.0,USAQUEN
830000000,195.0,3,4,5,BELLA SUIZA USAQUEN,Más de 20 años,746000.0,2,5082-M4170423,0,0,0,1,0,1,0,0,1,0,1.0,USAQUEN
3500000000,317.0,4,4,,SANTA BARBARA ALTA USAQUEN,Entre 10 y 20 años,2306000.0,0,17-1707,0,0,0,0,0,1,1,1,0,1,,USAQUEN
850000000,168.0,4,4,5,SANTA BARBARA OCCIDENTAL USAQUEN,Entre 10 y 20 años,817000.0,2,635-1259,0,0,0,0,0,0,1,0,0,0,0.0,USAQUEN
784000000,166.0,3,4,4,CAOBOS SALAZAR USAQUEN,Entre 10 y 20 años,,2,771-M4151347,0,0,0,1,0,1,0,1,1,0,1.0,USAQUEN
550000000,133.0,3,2,4,CEDRITOS,Entre 10 y 20 años,,1,646-3717,0,0,0,0,0,0,1,0,0,0,0.0,USAQUEN
380000000,80.0,1,2,5,CEDRITOS,Entre 10 y 20 años,273000.0,0,5031-8863,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
354000000,79.0,2,2,4,ACACIAS USAQUEN,Más de 20 años,,1,10858-M4144237,1,1,1,1,1,1,0,1,1,1,,USAQUEN
2000000000,220.0,3,4,6,USAQUEN,Entre 5 y 10 años,1200000.0,3,175-M3475971,0,1,0,1,0,0,0,1,1,0,1.0,USAQUEN
950000000,176.08,3,5,5,LA ALAMEDA USAQUEN,Más de 20 años,917300.0,2,614-M4089865,0,1,0,1,0,1,0,1,0,1,,USAQUEN
354000000,79.0,2,2,4,ACACIAS USAQUEN,Más de 20 años,,1,10858-M4172661,1,1,1,1,1,1,0,1,1,1,,USAQUEN
1150000000,170.0,3,5,5,BELLA SUIZA USAQUEN,Entre 5 y 10 años,850000.0,3,771-M4150957,0,0,1,1,0,0,0,0,1,0,1.0,USAQUEN
1099000000,156.0,2,4,6,SANTA BARBARA OCCIDENTAL USAQUEN,Entre 10 y 20 años,1122000.0,2,771-M4150969,0,1,0,1,0,0,0,1,1,0,1.0,USAQUEN
795000000,112.7,2,3,6,SANTA PAULA USAQUEN,Entre 5 y 10 años,,2,897-M3908250,0,0,0,0,0,0,0,0,1,0,1.0,USAQUEN
1350000000,248.0,3,4,5,LA CALLEJA USAQUEN,Más de 20 años,662000.0,2,3606-1001452,0,1,0,0,0,1,0,0,0,0,0.0,USAQUEN
1890000000,181.0,3,4,6,SANTA BARBARA ORIENTAL USAQUEN,Entre 5 y 10 años,980000.0,2,11013-M4071834,0,1,0,1,0,0,0,1,0,1,,USAQUEN
1890000000,181.0,3,4,6,SANTA BARBARA ORIENTAL USAQUEN,Entre 5 y 10 años,980000.0,2,11013-M4148622,0,1,0,1,0,0,0,1,0,1,,USAQUEN
3500000000,450.0,4,5,5,LA CALLEJA USAQUEN,Más de 20 años,1228000.0,4,771-M3820467,0,0,0,1,0,1,0,0,1,0,1.0,USAQUEN
1890000000,181.0,3,4,6,SANTA BARBARA ORIENTAL USAQUEN,Entre 5 y 10 años,980000.0,2,11013-M4061567,0,1,0,1,0,0,0,1,0,1,,USAQUEN
1380000000,158.0,3,4,6,LA CAROLINA USAQUEN,Entre 0 y 5 años,886000.0,2,771-M4150939,0,0,0,1,0,0,0,0,1,0,1.0,USAQUEN
912000000,127.0,3,5,6,SANTA BARBARA OCCIDENTAL USAQUEN,Entre 5 y 10 años,,3,771-M4150992,0,0,0,1,0,0,0,0,1,0,1.0,USAQUEN
3500000000,380.0,4,5,6,PRADOS DEL COUNTRY USAQUEN,Más de 20 años,2200000.0,3,11013-M4014391,1,1,1,0,0,0,0,0,0,1,,CHAPINERO
860000000,130.0,3,3,6,ALTABLANCA USAQUEN,Entre 10 y 20 años,673000.0,2,410-M3685556,0,0,0,1,0,1,0,0,0,1,,USAQUEN
1580000000,234.0,3,4,6,BOSQUE MEDINA USAQUEN,Entre 10 y 20 años,1116000.0,3,11013-M4173468,0,1,0,1,0,0,0,1,1,0,1.0,USAQUEN
5990000000,540.0,5,5,6,RECODO DEL COUNTRY USAQUEN,Entre 10 y 20 años,2679000.0,4,897-1004246,0,1,1,1,0,1,0,0,1,0,1.0,CHAPINERO
998000000,176.0,4,4,5,SANTA BARBARA USAQUEN,Más de 20 años,900000.0,2,15036-M4113677,0,0,0,1,0,0,0,0,0,1,,USAQUEN
1100000000,145.0,3,4,6,LA CAROLINA USAQUEN,Entre 10 y 20 años,897000.0,2,11013-M4148713,0,1,0,1,0,1,0,1,0,1,,USAQUEN
1400000000,186.0,3,3,6,USAQUEN,Entre 10 y 20 años,715000.0,2,815-1296,0,1,0,1,0,1,0,0,0,1,,USAQUEN
4950000000,740.0,4,5,6,MONTEARROYO USAQUEN,Más de 20 años,2700000.0,4,771-1144051106,0,0,0,1,0,1,0,1,1,0,1.0,USAQUEN
650000000,127.0,3,4,5,NUEVO COUNTRY USAQUEN,Más de 20 años,580000.0,2,2529-M4085615,0,0,0,1,0,0,0,0,0,1,,CHAPINERO
