precio,area_m2,habitaciones,baños,estrato,barrio,antiguead,administracion,parqueadero,codigo,equipado,sauna,jacuzzi,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,localidad
480000000,72.0,3,2,6.0,MOLINOS NORTE,Más de 20 años,448000.0,1,5175-M4165064,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
425000000,69.0,1,2,6.0,MOLINOS NORTE,Entre 10 y 20 años,414000.0,1,839-M4118012,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
300000000,78.28,3,2,4.0,LA PRADERA NORTE USAQUEN,Entre 10 y 20 años,250000.0,1,342-M4096572,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
821000000,141.0,3,3,5.0,RECODO DEL COUNTRY USAQUEN,Más de 20 años,560000.0,2,2671-M3287408,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
344000000,80.0,3,2,4.0,LA PRADERA NORTE USAQUEN,Entre 10 y 20 años,200000.0,1,614-M4013570,0,0,0,0,0,0,0,0,1,0,1.0,CHAPINERO
540000000,110.0,3,2,6.0,MOLINOS NORTE,Más de 20 años,800000.0,2,5175-M4139809,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
425000000,69.0,1,1,6.0,MOLINOS NORTE,Entre 10 y 20 años,414000.0,1,512-M3982496,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
1085000000,155.0,2,2,6.0,EL REFUGIO DE SAN ANTONIO USAQUEN,Más de 20 años,1100000.0,2,2671-M3817079,0,0,0,1,0,0,1,0,0,0,0.0,CHAPINERO
425000000,69.0,1,1,6.0,MOLINOS NORTE,Entre 10 y 20 años,,1,12500-M4122075,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
1600000000,219.0,3,3,6.0,CERRO NORTE USAQUEN,Más de 20 años,985000.0,3,2671-M3920794,0,0,1,0,0,0,0,0,1,0,1.0,CHAPINERO
260000000,61.0,2,2,3.0,SAN ANTONIO NORTE,Entre 5 y 10 años,136000.0,1,4058-M3179556,0,0,0,0,0,1,0,0,0,1,3.0,CHAPINERO
520000000,77.0,1,2,6.0,RINCON DEL CHICO USAQUEN,Entre 5 y 10 años,,1,12500-M4173768,0,0,0,0,0,0,0,0,0,1,,CHAPINERO
390000000,81.0,3,2,4.0,LA PRADERA NORTE USAQUEN,Entre 5 y 10 años,246900.0,1,RV-M4020685,0,0,0,0,0,1,0,0,1,0,1.0,CHAPINERO
165000000,49.0,3,1,3.0,SAN ANTONIO NORTE,Entre 10 y 20 años,80000.0,0,2706-M2534584,0,0,0,0,0,1,1,0,0,0,0.0,CHAPINERO
970000000,147.0,3,4,6.0,RECODO DEL COUNTRY USAQUEN,Más de 20 años,890000.0,2,2671-M4080656,0,0,0,0,0,0,0,0,0,1,,CHAPINERO
530000000,110.0,3,3,4.0,LA PRADERA NORTE USAQUEN,Entre 10 y 20 años,472000.0,2,614-M4033191,0,1,0,1,0,0,0,1,1,0,1.0,CHAPINERO
195000000,52.0,3,1,3.0,SAN CRISTOBAL NORTE USAQUEN,Más de 20 años,,0,175-M4148632,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
375000000,0.0,4,3,4.0,TOSCANA 2 CASA EN VENTA EN LA PRADERA NORTE USAQUEN,Entre 10 y 20 años,261000.0,1,874-M3699074,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
373226000,76.0,3,2,4.0,SAN ANTONIO NORTE USAQUEN,Entre 5 y 10 años,,1,11295-M3971394,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
660000000,110.0,3,2,5.0,RECODO DEL COUNTRY USAQUEN,Más de 20 años,450000.0,2,11013-M4180599,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
165000000,70.0,3,2,3.0,SAN ANTONIO NORTE,Remodelado,90000.0,0,223-5057,1,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
240000000,72.0,3,2,3.0,SAN ANTONIO NORTE,Más de 20 años,95000.0,0,10145-M4019538,1,0,0,0,0,1,0,0,0,0,0.0,CHAPINERO
185000000,35.0,2,1,3.0,LA PRADERA NORTE USAQUEN ORQUIDEAS,Entre 0 y 5 años,,0,MC4141713,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
250000000,65.0,3,2,3.0,SAN ANTONIO NORTE,Entre 10 y 20 años,124000.0,0,MC4153413,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
