precio,area_m2,habitaciones,baños,estrato,barrio,antiguead,administracion,parqueadero,piso,codigo,equipado,sauna,jacuzzi,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,descripcion,link,query,date
290000000,39.86,1,1,3,San Martin Centro Internacional,Entre 0 y 5 años,,,,14493-M3485454,0,1,0,0,0,1,0,1,0,1,,"Excelente Oportunidad Apartaestudio tipo Loft de un Ambiente para entrega y escrituración Octubre 22, Piso 7, Exterior con balcón. Área privada 34,17m2 más 5,69 m2 de Balcón. Especial para jóvenes o independientes en un sector de alto desarrollo y valorización, cerca a universidades, zona de negocios y cultural. Es un edificio de 18 pisos con 3 sótanos de parqueaderos y una amplia zona comunal donde convergen tres circuitos El de la formación, el entretenimiento y el deporte. El circuito de formación cuenta con Una amplia sala de lectura y varios espacios perfectos para estudiar o trabajar. El circuito del entretenimiento cuenta con Teatrino, Salones de entretenimiento y Café. Por último está el circuito del deporte que cuenta con Piscina para adultos, Gimnasio dotado, Sport Bar y Muro de escalar. En el noveno piso hay una lavandería comunal y una terraza con una espectacular vista hacia la Torre Colpatria. El Edificio será administrado por un operador Hotelero.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-san-martin-1-habitaciones-1-banos/14493-M3485454,centro-internacional,Sun Apr  2 16:55:53 2023
299000000,32.0,1,1,4,Centro Internacional,Entre 5 y 10 años,,,,5027-M3474565,0,0,0,0,0,0,0,0,0,0,,"VENDO APARTA ESTUDIO EN EL SECTOR DE CENTRO INTERNACIONAL EDIFICIO MUSEO PARQUE CENTRAL. PISO 21. EXCELENTE VISTA. CONSTA DE SALA-COMEDOR, COCINA INTEGRAL, ZONA DE LAVANDERIA, ALCOBA, BAÑO, GARAJE PISO EN MADERA LAMINADA. VALOR EN VENTA 299.000.000 SIN DEUDA. EL EDIFICIO CUENTA CON PISCINA, GIMNASIO, TURCO, AMPLIA ZONA DE RECEPCION. EN QUANTUM INMOBILIARIA TENEMOS LO MEJOR PARA USTED, PERMITANOS ASESORARLE EN SU DOCUMENTACION DE LA MEJOR MANERA. 613-750.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-samper-1-habitaciones-1-banos/5027-M3474565,centro-internacional,Sun Apr  2 16:55:59 2023
280000000,19.7,1,1,4,Centro Internacional,Entre 0 y 5 años,,,1,15180-117120,1,0,1,0,0,1,0,0,0,0,,"Torre Barcelona es un edificio de 28 pisos,el cual se encuentra ubicado en el centro de Bogotá,un sector estratégico en la ciudad. El proyecto cuenta con apartamentos de vivienda tradicional y un modelo de inversión donde se manejan unidades habitacionales,a la fecha,contamos solamente con unidades habitacionales totalmente diseñadas y dotadas para las necesidades del usuario,adicional,el proyecto goza de unas áreas sociales como restaurante,minimercado,bar,piscina,jacuzzi,lavanderías,entre otros,que hacen la experiencia excepcional. unidad a la venta premium 22.35. metros cuadrados.Así mismo,lo mejor de todo,es que al ser propietario de una unidad habitacional se es parte del negocio de co-living donde todos los ingresos tanto por el alquiler de las unidades,parqueadero público y zonas de explotación entran en una bolsa desde donde se pagan los gastos de operación y se reparten las utilidades entre los propietarios,generando una mayor rentabilidad a la de la",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-centro-internacional-1-habitaciones-1-banos/15180-117120,centro-internacional,Sun Apr  2 16:56:03 2023
444000000,51.0,1,1,4,Centro Internacional,Entre 0 y 5 años,229000.0,1.0,,847-3438L4,0,0,0,1,0,0,0,0,0,1,,"Te presentamos este lindo apartaestudio en venta ideal para ejecutivos o estudiantes. Esto, debido a lo que ofrece el inmueble y dónde se encuentra ubicado. Se cuenta con rápido acceso a la séptima y será muy fácil llegar al centro sector que se destaca por estar lleno de oficinas, universidades, bancos, restaurantes y sitios turísticos. El apartamento, que tiene una excelente y muy funcional distribución, te permitirá disfrutarlo en cada momento. Tiene una habitación, la cual se encuentra separada del área social por medio de un dispositivo que rota y acomoda el televisor donde desees tenerlo, sea que quieras ver tus series en cama, o ver una película o un partido de fútbol con amigos en la sala. Tiene un baño, cocina integral y funcional, cuentas con balcón y vista a la ciudad, y gimnasio comunal dentro del edificio para ir entrenar. Llámanos para más información Para más información, ingresa a www.pads.com.co con el código 3438",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-san-martin-1-habitaciones-1-banos-1-garajes/847-3438L4,centro-internacional,Sun Apr  2 16:56:11 2023
310000000,36.0,1,1,3,Centro Internacional,Entre 5 y 10 años,252000.0,1.0,3,14454-M4116700,0,1,0,1,0,1,0,0,1,1,,"Apartaestudio de Excelente ubicación, a dos cuadras del centro internacional, en el centro de la ciudad, cerca de universidades, con zonas comunes amplias, Spa, Sauna, Gimnasio, Salón Social, Terraza 360 desde la cual se visualiza toda la ciudad, zona BBQ. El apartaestudio tiene balcón y con claridad. Cocina tipo americano.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-las-nieves-1-habitaciones-1-banos-1-garajes/14454-M4116700,centro-internacional,Sun Apr  2 16:56:21 2023
300000000,30.65,1,1,4,Centro Internacional,Entre 0 y 5 años,288800.0,,,411-M3726460,0,0,0,0,0,0,0,0,0,0,,"Apartaestudio en piso 12 exterior, muy iluminado, tipo loft, para estrenar, excelentes acabados, linda vista, tiene cocina abierta amplia, estufa eléctrica, con buenas zonas de almacenamiento ,los muebles de la cocina son de cierre lento, baño amplio, pisos en madera laminada, carpintería de techo a piso, closet, amplias ventanas. Tiene deposito, no tiene parqueadero propio. El edificio tiene excelente ubicación, torre de 20 pisos, 176 aptos. CCTV, vigilancia 24 horas, cuenta con dos ascensores y 22 parqueaderos de visitantes, terraza con BBQ, coworking, área lounge, teatrino, gimnasio dotado, lavandería comunal, zona de mascotas, bicicleteros. C59542",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-armenia-1-habitaciones-1-banos/411-M3726460,centro-internacional,Sun Apr  2 16:56:27 2023
1250000000,250.0,2,2,4,Centro Internacional,Remodelado,727900.0,2.0,6,2559-M2623654,0,0,0,0,0,1,0,0,0,0,,"Apartamento en el edificio Centro Internacional, antes Bavaria, 250m2, piso 6, exterior, vista al Museo Nacional y los cerros, 2 cuartos, 2 baños completos, sala, comedor, estudio, cocina cerrada, área de lavandería, cuarto y baño de servicio y 2 garajes independientes, 1 es pequeño. Edificio de 60 años de construido, inmueble de interés cultural-categoría de conservación integral, cuenta además con gimnasio, parque para niños, sala de juntas, salón comunal, área para mascotas, 2 ascensores, planta eléctrica parcial y parqueadero de visitantes.  ",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-san-diego-2-habitaciones-2-banos-2-garajes/2559-M2623654,centro-internacional,Sun Apr  2 16:56:40 2023
440000000,55.0,1,2,3,CENTRO INTERNACIONAL,Entre 0 y 5 años,399000.0,1.0,5,4186-M4134254,0,1,0,0,0,1,0,1,0,1,1.0,"Lindo apartamento de 55 metros, ubicado en el exclusivo sector de Centro Internacional, cuenta con 1 habitación, 1 baños, depósito, 1 garaje independiente, amplios espacios y excelente iluminación. El edificio cuenta con terraza, gimnasio, salón comunal, piscina, BBQ, sauna y turco. El lugar perfecto para vivir, si estas interesado contáctanos!.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-san-martin-1-habitaciones-2-banos-1-garajes/4186-M4134254,centro-internacional,Sun Apr  2 16:56:56 2023
750000000,172.42,3,2,4,centro internacional bogota,Más de 20 años,75000.0,,3,754-M4033502,0,0,0,0,0,0,1,0,0,0,,"Gran oportunidad de inversión ubicado en la centro internacional de bogotá, centros culturales y de recreación a pocas cuadras, apartamento de 172 M2, ventanas amplias, pisos en madera, sala comedor con chimenea, cocina cerrada con comedor auxiliar, zona de lavandería independiente, hall de alcobas, 3 habitaciones, 2 baños. cerca de parques en la zona, excelentes vias de acceso.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-samper-3-habitaciones-2-banos/754-M4033502,centro-internacional,Sun Apr  2 16:57:09 2023
465000000,50.0,1,2,3,Centro Internacional,Entre 0 y 5 años,240000.0,1.0,9,2559-M2783444,0,0,0,0,0,1,0,0,0,1,2.0,"Apartamento en el Centro Internacional. 50m2, balcón, piso 19, exterior, vista, 1 cuarto, 1.5 baños, sala-comedor, cocina abierta, área de lavandería, 1 garaje y depósito. Edificio de 2020 con terraza comunal, BBQ, parque infantil, salones sociales, gimnasio, teatrino, zona para caminar y relajarse, excelente lobby, lavandería comunal, parqueadero de visitantes, caldera y planta eléctrica.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-san-martin-1-habitaciones-2-banos-1-garajes/2559-M2783444,centro-internacional,Sun Apr  2 16:57:19 2023
