precio,area_m2,habitaciones,baños,estrato,administracion,parqueadero,equipado,sauna,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,antiguead,barrio,codigo,date,descripcion,localidad,piso
165000000.0,54.0,3.0,2.0,3.0,115000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Entre 0 y 5 años,MADRID,2592-M3639526,Sun Apr  2 16:44:51 2023,"En venta excelente apartamento Madrid con un área de 54m2, Alcobas:3, Baños:2 Estudio, con acabados Nuevos, Tipo cocina: integral, Estrato:3, Piso:2 exterior, sin depósito, Parqueaderos: 1 propio en sótano, exterior, Zonas comunes, Antigüedad: 5 años , Vigilancia 24 horas, sin ascensor. Administración: $115.000 Precio venta: $165 millones",santa fe,2
650000000.0,81.76,1.0,2.0,4.0,511000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,Entre 5 y 10 años,Bosque Izquierdo,59-M3889467,Sun Apr  2 16:44:58 2023,"Apartaestudio en venta. Ubicado en Bosque Izquierdo con excelentes acabados, distribuidos de la siguiente manera, cuenta con sala comedor amplio, cocina abierta, espacio de estudio con posibilidad de segunda habitación, habitación principal con walking closet baño privado, baño auxiliar, chimenea, balcón amplio, con vista exterior, parqueadero cubierto en servidumbre, vigilancia 24 7, Ascensor, parqueadero de visitantes, zonas verdes, parque infantil, área de terraza para descanso, zona tranquila, vista hacia los cerros orientales, centro de la ciudad, parque bosque izquierdo, colegio Ramón Jimeno, universidad Fráncico José de Caldas, universidad Jorge Tadeo Lozano, restaurantes, museos, planetario, parque la independencia, vías de acceso como lo son Av. circunvalar, Av. el Dorado, Carrera tercera, carrera primera, zona apetecida por estudiantes, sector de alta demanda para inversiones en instancias cortas.",santa fe,
372000000.0,59.0,1.0,2.0,4.0,210000.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,Entre 0 y 5 años,bosque izquierdo,450-1836096,Sun Apr  2 16:45:09 2023,"Excelente apartamento exeterior tipo loft para estrenar, sala, comedor, alcoba con baño y vestier, baño social, estudio, amplio balcón, cocina integral con gas natural, cuarto de lavandería, parqueadero y depósito. Cerca a universidades, avenida circunvalar, calle 26, buenas vías de acceso, parques cercanos.",santa fe,6
390000000.0,85.0,2.0,2.0,4.0,50000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,Más de 20 años,LA MACARENA Centro Internacional,MC4139952,Sun Apr  2 16:45:20 2023,"Vendo amplio y luminoso apartamento en La Macarena, recién remodelado, muy cerca de zona de restaurantes gourmet, universidades, museos, parques, Centro Internacional y estaciones de Transmilenio. Consta de una sala comedor, comedor auxiliar, cocina integral, 2 habitaciones, estudio, 2 baños y terraza comunal. Informes Tania Moreno. Se muestra con cita previa.",santa fe,2
395000000.0,59.0,1.0,2.0,4.0,390000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Entre 0 y 5 años,La Macarena,5175-M3989838,Sun Apr  2 16:45:37 2023,"Lindo apartamento de 59 Mts2 más 22Mts2 de terraza, una alcoba, dos baños, sala comedor, cocina integral, zona de ropas, vista exterior e iluminación natural, el edificio cuenta con terraza comunal, seguridad privada, ascensor, parqueadero de visitantes, gimnasio, salón comunal, salón de reuniones.",santa fe,
340000000.0,70.0,2.0,2.0,4.0,515000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Entre 5 y 10 años,LA MACARENA Centro y Zona Colonial,MC3032726,Sun Apr  2 16:45:44 2023,"Hermoso apartamento, cómodo y funcional, ubicado en zona segura y cerca a los mejores restaurantes. Muy iluminado, con balcón, puerta de seguridad, en segundo piso con ascensor. Cocina integral tipo americano, estufa, calentador y chimenea de gas.",santa fe,2
360000000.0,52.0,1.0,2.0,4.0,195000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Entre 0 y 5 años,BOSQUE IZQUIERDO,223-1920,Sun Apr  2 16:45:50 2023,http://www.coninsaramonh.com/coninsa/think/bogota/think/think,santa fe,4
430000000.0,51.0,1.0,2.0,4.0,235600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Entre 0 y 5 años,Bosque Izquierdo,RV-M3998468,Sun Apr  2 16:45:57 2023,ApartaEstudio AMOBLADO para ESTRENAR Dos Ambientes Walking Closet Dos Banos Estudio Cocina Integral Abierta Dos Terrazas Pisos Laminado y Ceramica Garaje Cubierto Cerca a la Veintiseis Contacto EDGAR LOPEZ,santa fe,
360000000.0,52.0,1.0,2.0,3.0,200000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Entre 0 y 5 años,BOSQUE IZQUIERDO,223-1918,Sun Apr  2 16:46:07 2023,http://www.coninsaramonh.com/coninsa/think/bogota/think/think,santa fe,4
315000000.0,29.0,1.0,1.0,3.0,183600.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,Entre 0 y 5 años,Bosque Izquierdo,617-M3707543,Sun Apr  2 16:46:14 2023,"Apartamento tipo loft con muro a media altura de 1 habitación, 1 baño, cocina abierta. El edificio cuenta con zona de lavandería comunal, gimnasio, terraza BBQ dotada, zona de co-working, portería vigilada y parqueaderos de visitantes.",santa fe,8
290000000.0,37.51,1.0,1.0,4.0,267900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Entre 0 y 5 años,Centro,2379-M3743520,Sun Apr  2 16:46:21 2023,"se VENDE apartamento, con acabados y vista panoramica, pisos en madera, cocina abierta integral en marmol, zona de lavanderia independiente, habitacion con closet, un garaje cubierto y deposito. Edificio Inteligente, cuenta con ascensor, gimnasio, salon social. Ubicado en el Centro de la Ciudad.",santa fe,
490000000.0,62.19,1.0,2.0,4.0,421400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Entre 5 y 10 años,BOSQUE IZQUIERDO Centro Internacional,MC4054221,Sun Apr  2 16:46:27 2023,"Excelente ubicación (en sector exclusivo del centro de Bogotá), vistas panorámicas de la ciudad.. Iluminación natural permanente (oriente-occidente). 2 balcones con vista a Monserrate y parque. Apacible y segura zona residencial. Habitación opcional en espacio de estudio. Hermosas áreas comunes 6 terrazas con espacios de lectura,, gimnasio, BBQ, parque infantil, 2 salones comunales, Reconocimiento arquitectónico. VENDE O ARRIENDA .Negociable",santa fe,6
227000000.0,32.0,1.0,1.0,3.0,269000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Entre 10 y 20 años,BOSQUE IZQUIERDO Centro Internacional,MC4124799,Sun Apr  2 16:46:32 2023,"En venta Aparta estudio de 32M2, una habitación, sala comedor con chimenea, cocina tipo americano, closet, zona de lavanderia, baño con division en vidrio, tercer piso, super iluminado, parqueadero cubierto e independiente sin servidumbre, conjunto cerrado.",santa fe,3
